productId,itemId,description,department,deptDescription,categorySubCode,categorySubDescription,category,manufacturer,subSegmentDescription,subSegmentId,segmentDescription,segmentId,subCategoryDescription,subCategoryId,majorDepartmentDescription,majorDepartmentId,container,size,uom,active,privateLabelFlag,consumption,package,flavor,brand,brandType,height,width,depth,shapeId,family,trademark,country,color,alternateHeight,alternateWeight,alternateDepth,containerDescription,distributor,industryType,dateCreatedBQ
"","1820096920","Mixx Tail Hurricane 1 Pack 25 Ounce Can","","","04-09-00","Flavored Malt","Beer","Anheuser-Busch InBev","FMB","","FMB/PAB","","","","","","1.0","25.0","OZ","","","","","","Mixx Tail Hurricane","","","","","","","","","","","","","","","","1517236534000"
"","1820096921","Mixx Tail Firewalker 1 Pack 25 Ounce Can","","","04-09-00","Flavored Malt","Beer","Anheuser-Busch InBev","FMB","","FMB/PAB","","","","","","1.0","25.0","OZ","","","","","","Mixx Tail Firewalker","","","","","","","","","","","","","","","","1517236534000"
"","1820096925","Busch Signature Copper Lager 4 Pack 16 Ounce Can","","","04-03-00","Popular","Beer","Anheuser-Busch InBev","Value Regular","","Value","","","","","","4.0","16.0","OZ","","","","","","Busch Signature Copper Lager","","","","","","","","","","","","","","","","1517236534000"
"","1820096926","Bud Light Lime-A-Rita.8B 1 Pack 34 Ounce Bottle","","","04-09-00","Flavored Malt","Beer","Anheuser-Busch InBev","FMB","","FMB/PAB","","","","","","1.0","34.0","OZ","","","","","","Bud Light Lime-A-Rita","","","","","","","","","","","","","","","","1517236534000"
"","1820096927","Bud Light Lime Straw-Ber-Rita.8B 1 Pack 34 Ounce Bottle","","","04-09-00","Flavored Malt","Beer","Anheuser-Busch InBev","FMB","","FMB/PAB","","","","","","1.0","34.0","OZ","","","","","","Bud Light Lime Straw-Ber-Rita","","","","","","","","","","","","","","","","1517236534000"
"","1820096928","Natty Daddy 6 Pack 12 Ounce Can","","","04-03-00","Popular","Beer","Anheuser-Busch InBev","Value Malt","","Value","","","","","","6.0","12.0","OZ","","","","","","Natty Daddy","","","","","","","","","","","","","","","","1517236534000"
"","1820096934","Bud Light Lime Cran-Ber-Rita 1 Pack 25 Ounce Can","","","04-09-00","Flavored Malt","Beer","Anheuser-Busch InBev","FMB","","FMB/PAB","","","","","","1.0","25.0","OZ","","","","","","Bud Light Lime Cran-Ber-Rita","","","","","","","","","","","","","","","","1517236534000"
"","1820096940","Stella Artois Cidre 4 Pack 16 Ounce Can","","","04-09-00","Flavored Malt","Beer","Anheuser-Busch InBev","Import","","Craft/Import","","","","","","4.0","16.0","OZ","","","","","","Stella Artois Cidre","","","","","","","","","","","","","","","","1517236534000"
"","1820096940S","Stella Artois Cidre 1 Pack 16 Ounce Can","","","04-09-00","Flavored Malt","Beer","Anheuser-Busch InBev","Import","","Craft/Import","","","","","","1.0","16.0","OZ","","","","","","Stella Artois Cidre","","","","","","","","","","","","","","","","1517236534000"
"","1820096943","Ziegenbock 6 Pack 12 Ounce Can","","","04-01-00","Super Premium","Beer","Anheuser-Busch InBev","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Ziegenbock","","","","","","","","","","","","","","","","1517236534000"
"","1820097001","Estrella Jalisco 6 Pack 12 Ounce Bottle","","","04-05-00","Imports","Beer","Anheuser-Busch InBev","Import","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Estrella Jalisco","","","","","","","","","","","","","","","","1517236534000"
"","1820097002","Estrella Jalisco 12 Pack 12 Ounce Bottle","","","04-05-00","Imports","Beer","Anheuser-Busch InBev","Import","","Craft/Import","","","","","","12.0","12.0","OZ","","","","","","Estrella Jalisco","","","","","","","","","","","","","","","","1517236534000"
