retailerId,siqId
70861535420,SIQ290702000006
70861535620,SIQ290702000016
70861535622,SIQ290702000016
70861580459,SIQ291002000001
70861580457,SIQ291002000002
70861580000,SIQ290702000016
70861580220,SIQ290702000016
70861580310,SIQ291102000002
70861580455,SIQ291002000003
478478478,SIQ040000000002
70861533000,SIQ040000000003
