retailerId,siqId
MONEY_ORDER,SIQ260300000001
1,SIQ010101000001
10,SIQ290502000002
4,SIQ010301000001
6,SIQ010401000001
11,SIQ290502000003
9,SIQ290502000004
8,SIQ010201000001
5,SIQ010601000001
OPEN_ONLINE_LOTTO,SIQ270100000001
1235,SIQ290902000014
2,SIQ010201000001
3,SIQ010301000001
DPTOPENDEPT-8,SIQ270100000001
Grade PP,SIQ010101000001
DPT00000OPENDEPT-8,SIQ270100000001
9919,SIQ270100000001
7,SIQ010401000001
116,SIQ270100000001
481,SIQ270100000001
480,SIQ270100000001
484,SIQ270100000001
110,SIQ270100000001
477,SIQ270100000001
478,SIQ270100000001
487,SIQ270100000001
486,SIQ270100000001
479,SIQ270100000001
482,SIQ270100000001
46,SIQ270100000001
1585,SIQ270100000001
1587,SIQ270100000001
1590,SIQ270100000001
1591,SIQ270100000001
1593,SIQ270100000001
1586,SIQ270100000001
11031,SIQ270100000001
45,SIQ270100000001
1592,SIQ270100000001
1588,SIQ270100000001
11035,SIQ270100000001
11032,SIQ270100000001
11034,SIQ270100000001
11033,SIQ270100000001
449011001869,SIQ270100000001
526600007,SIQ270100000001
81752201807,SIQ270100000001
81752201796,SIQ270100000001
81752201867,SIQ270100000001
81752201806,SIQ270100000001
81752201759,SIQ270100000001
81752201719,SIQ270100000001
81752201829,SIQ270100000001
81752201868,SIQ270100000001
81752201798,SIQ270100000001
81752201885,SIQ270100000001
81752201827,SIQ270100000001
81752201801,SIQ270100000001
81752201790,SIQ270100000001
81752201834,SIQ270100000001
81752201779,SIQ270100000001
81752201870,SIQ270100000001
81752201795,SIQ270100000001
81752201740,SIQ270100000001
81752201838,SIQ270100000001
81752201830,SIQ270100000001
81752201753,SIQ270100000001
81752201866,SIQ270100000001
81752201797,SIQ270100000001
81752201734,SIQ270100000001
81752201832,SIQ270100000001
81752201793,SIQ270100000001
81752201853,SIQ270100000001
81752201824,SIQ270100000001
81752201799,SIQ270100000001
81752201789,SIQ270100000001
81752201794,SIQ270100000001
81752201808,SIQ270100000001
81752201861,SIQ270100000001
81752201756,SIQ270100000001
81752201764,SIQ270100000001
81752201737,SIQ270100000001
81752201860,SIQ270100000001
81752202002,SIQ270100000001
81752201845,SIQ270100000001
81752201898,SIQ270100000001
81752201858,SIQ270100000001
