retailerId,siqId
DPT000000000000903,SIQ270100000001
DPT000000000000080,SIQ270100000001
20,SIQ250300000001
DPT000000000000905,SIQ270100000001
DPT000000000000027,SIQ270100000001
DPT000000000000100,SIQ270100000001
73597511242,SIQ270100000001
73597551250,SIQ270100000001
73597551280,SIQ270100000001
73597531272,SIQ270100000001
73597511245,SIQ270100000001
73597581264,SIQ270100000001
73597511263,SIQ270100000001
73597531230,SIQ270100000001
73597581274,SIQ270100000001
73597511275,SIQ270100000001
73597581267,SIQ270100000001
73597531260,SIQ270100000001
73597511288,SIQ270100000001
73597581253,SIQ270100000001
73597511256,SIQ270100000001
73597531246,SIQ270100000001
73597531276,SIQ270100000001
73597511268,SIQ270100000001
73597531284,SIQ270100000001
73597581249,SIQ270100000001
73597511296,SIQ270100000001
73597561252,SIQ270100000001
73597581262,SIQ270100000001
70410401809,SIQ270100000001
73597561248,SIQ270100000001
73597581234,SIQ270100000001
73597581279,SIQ270100000001
73597581271,SIQ270100000001
73597581282,SIQ270100000001
73597581228,SIQ270100000001
73597511229,SIQ270100000001
73597561270,SIQ270100000001
70410401775,SIQ270100000001
73597561277,SIQ270100000001
73597541273,SIQ270100000001
73597581259,SIQ270100000001
73597561254,SIQ270100000001
76553201409,SIQ270100000001
73597581255,SIQ270100000001
73597561236,SIQ270100000001
73597581287,SIQ270100000001
73597511238,SIQ270100000001
73597541266,SIQ270100000001
73597531219,SIQ270100000001
73597581226,SIQ270100000001
73597561261,SIQ270100000001
73597581292,SIQ270100000001
73597561281,SIQ270100000001
73597511283,SIQ270100000001
70410401820,SIQ270100000001
70410401856,SIQ270100000001
76553201433,SIQ270100000001
73597561286,SIQ270100000001
73597541244,SIQ270100000001
70410401774,SIQ270100000001
73597561291,SIQ270100000001
73597521269,SIQ270100000001
73597541258,SIQ270100000001
73597581237,SIQ270100000001
70410401827,SIQ270100000001
73597581278,SIQ270100000001
70410401810,SIQ270100000001
76553201431,SIQ270100000001
73597541290,SIQ270100000001
76553201442,SIQ270100000001
70410401749,SIQ270100000001
70410401811,SIQ270100000001
73597511299,SIQ270100000001
76553201448,SIQ270100000001
73597581295,SIQ270100000001
73597561294,SIQ270100000001
73597531300,SIQ270100000001
73597521251,SIQ270100000001
76553201373,SIQ270100000001
73597521289,SIQ270100000001
73597581298,SIQ270100000001
70410401854,SIQ270100000001
73597521265,SIQ270100000001
73597561233,SIQ270100000001
73597581225,SIQ270100000001
76553201446,SIQ270100000001
76553201410,SIQ270100000001
76553201440,SIQ270100000001
76553201405,SIQ270100000001
76553201450,SIQ270100000001
73597541227,SIQ270100000001
70410401824,SIQ270100000001
70410401829,SIQ270100000001
73597581216,SIQ270100000001
73597541235,SIQ270100000001
73597521247,SIQ270100000001
70410401828,SIQ270100000001
73597521285,SIQ270100000001
70410401812,SIQ270100000001
70410401837,SIQ270100000001
76553201470,SIQ270100000001
70410401782,SIQ270100000001
70410401823,SIQ270100000001
70410401855,SIQ270100000001
70410401836,SIQ270100000001
70410401794,SIQ270100000001
70410401816,SIQ270100000001
73597561224,SIQ270100000001
70410401844,SIQ270100000001
76553201472,SIQ270100000001
70410401800,SIQ270100000001
73597521257,SIQ270100000001
70410401803,SIQ270100000001
76553201459,SIQ270100000001
73597541297,SIQ270100000001
76553201464,SIQ270100000001
76553201447,SIQ270100000001
76553201449,SIQ270100000001
76553201441,SIQ270100000001
76553201444,SIQ270100000001
73597521293,SIQ270100000001
76553201467,SIQ270100000001
70410401814,SIQ270100000001
73597511222,SIQ270100000001
70410401819,SIQ270100000001
70410401846,SIQ270100000001
76553201415,SIQ270100000001
